"","parm_cd","description","characteristicname","measureunitcode","resultsamplefraction","resulttemperaturebasis","resultstatisticalbasis","resulttimebasis","resultweightbasis","resultparticlesizebasis","last_rev_dt"
"108","00495","Moisture content, fraction of dry weight, percent","Moisture content","%","","","","","Dry","","2011-01-03"
"109","00500","Total solids dried at 105 degrees Celsius, water, unfiltered, milligrams per liter","Total solids","mg/l","Total","105 deg C","","","","","2009-09-24"
"110","00505","Loss on ignition of total solids, water, unfiltered, milligrams per liter","Total volatile solids","mg/l","Total","","","","","","2009-09-24"
"111","00510","Total solids remaining after ignition, water, unfiltered, milligrams per liter","Total fixed solids","mg/l","Total","","","","","","2009-09-24"
"112","00515","Dissolved solids dried at 105 degrees Celsius, water, filtered, milligrams per liter","Total dissolved solids","mg/l","Dissolved","105 deg C","","","","","2009-09-24"
"113","00520","Loss on ignition of dissolved solids, water, filtered, milligrams per liter","Volatile dissolved solids","mg/l","Dissolved","","","","","","2009-09-24"
"114","00525","Dissolved solids remaining after ignition, water, filtered, milligrams per liter","Fixed dissolved solids","mg/l","Dissolved","","","","","","2009-09-24"
"115","00530","Suspended solids, water, unfiltered, milligrams per liter","Total suspended solids","mg/l","Non-filterable","","","","","","2009-09-24"
"116","00535","Loss on ignition of suspended solids, water, unfiltered, milligrams per liter","Volatile Suspended Solids","mg/l","Non-filterable","","","","","","2009-09-24"
"117","00540","Suspended solids remaining after ignition, water, unfiltered, milligrams per liter","Fixed suspended solids","mg/l","","","","","","","2009-09-24"
"118","00545","Settleable solids, water, unfiltered, milligrams per liter","Settleable solids","mg/l","Settleable","","","","","","2009-09-24"
"119","00550","Oil and grease, water, unfiltered, recoverable, milligrams per liter","Oil and grease -- CWA 304B","mg/l","Recoverable","","","","","","2008-02-21"
"120","00551","Petroleum hydrocarbons, water, unfiltered, CCl4 extraction, infrared chromatography, recoverable, milligrams per liter","Hydrocarbons, petroleum","mg/l","Recoverable","","","","","","2008-02-21"
"121","00552","Oil and grease, water, unfiltered, hexane extraction, recoverable, milligrams per liter","Oil and grease -- CWA 304B","mg/l","Recoverable","","","","","","2008-02-21"
"122","00553","Oil and grease, bed sediment, hexane extraction, recoverable, dry weight, milligrams per kilogram","Oil and grease -- CWA 304B","mg/kg","Bed Sediment","","","","Dry","","2008-03-25"
"123","00556","Oil and grease, water, unfiltered, freon extraction, gravimetric, recoverable, milligrams per liter","Oil and grease -- CWA 304B","mg/l","Recoverable","","","","","","2008-02-21"
"124","00557","Oil and grease, bed sediment, freon extraction, gravimetric, recoverable, dry weight, milligrams per kilogram","Oil and grease -- CWA 304B","mg/kg","Bed Sediment","","","","Dry","","2008-03-25"
"125","00560","Oil and grease, water, unfiltered, freon extraction, electrometric infrared, recoverable, milligrams per liter","Oil and grease -- CWA 304B","mg/l","Recoverable","","","","","","2008-02-21"
"126","00561","Oil and grease, bed sediment, freon extraction, electrometric infrared, recoverable, dry weight, milligrams per kilogram","Oil and grease -- CWA 304B","mg/kg","Bed Sediment","","","","Dry","","2008-03-25"
"127","00572","Biomass, periphyton, ash weight, grams per square meter","Biomass, periphyton","g/m2","","","","","Ash Weight","","2008-02-21"
"128","00573","Biomass, periphyton, dry weight, grams per square meter","Biomass, periphyton","g/m2","","","","","Dry","","2008-02-21"
"129","00597","Dinitrogen, water, unfiltered, milligrams per liter","Nitrogen","mg/l","Dissolved","","","","","","2012-10-01"
"130","00598","Dinitrogen, water, unfiltered, percent of saturation","Nitrogen","%","Dissolved","","","","","","2012-10-01"
"131","00600","Total nitrogen, water, unfiltered, milligrams per liter","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","mg/l","Total","","","","","","2008-02-21"
"132","00601","Total nitrogen, suspended sediment, total, milligrams per liter","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","mg/l","Suspended","","","","","","2008-02-21"
"133","00602","Total nitrogen, water, filtered, milligrams per liter","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","mg/l","Dissolved","","","","","","2008-02-21"
"134","00603","Total nitrogen, bed sediment, total, dry weight, milligrams per kilogram","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","mg/kg","Bed Sediment","","","","Dry","","2008-03-25"
"135","00604","Ammonia, suspended sediment, total, milligrams per liter as nitrogen","Ammonia and ammonium","mg/l as N","Suspended","","","","","","2008-02-21"
