"","parm_cd","description","characteristicname","measureunitcode","resultsamplefraction","resulttemperaturebasis","resultstatisticalbasis","resulttimebasis","resultweightbasis","resultparticlesizebasis","last_rev_dt"
"3618","62125","Dichlorvos, suspended sediment, recoverable, micrograms per liter","Dichlorvos","ug/l","Suspended","","","","","","2008-02-21"
"3619","62126","D-Limonene, suspended sediment, recoverable, micrograms per liter","Cyclohexene, 1-methyl-4-(1-methylethenyl)-, (4R)-","ug/l","Suspended","","","","","","2008-02-21"
"3620","62127","Equilenin, suspended sediment, recoverable, micrograms per liter","Estra-1,3,5,7,9-pentaen-17-one, 3-hydroxy-","ug/l","Suspended","","","","","","2008-02-21"
"3621","62128","Fluoranthene, suspended sediment, recoverable, micrograms per liter","Fluoranthene","ug/l","Suspended","","","","","","2008-02-21"
"3622","62129","Hexahydrohexamethyl cyclopentabenzopyran, suspended sediment, recoverable, micrograms per liter","Cyclopenta[g]-2-benzopyran, 1,3,4,6,7,8-hexahydro-4,6,6,7,8,8-hexamethyl-","ug/l","Suspended","","","","","","2008-02-21"
"3623","62130","Indole, suspended sediment, recoverable, micrograms per liter","Indole","ug/l","Suspended","","","","","","2008-02-21"
"3624","62131","Isoborneol, suspended sediment, recoverable, micrograms per liter","Isoborneol","ug/l","Suspended","","","","","","2008-02-21"
"3625","62132","Isophorone, suspended sediment, recoverable, micrograms per liter","Isophorone","ug/l","Suspended","","","","","","2008-02-21"
"3626","62133","Isopropylbenzene, suspended sediment, recoverable, micrograms per liter","Cumene","ug/l","Suspended","","","","","","2008-02-21"
"3627","62134","Isoquinoline, suspended sediment, recoverable, micrograms per liter","Isoquinoline","ug/l","Suspended","","","","","","2008-02-21"
"3628","62136","Metalaxyl, suspended sediment, recoverable, micrograms per liter","Metalaxyl","ug/l","Suspended","","","","","","2008-02-21"
"3629","62137","Methyl salicylate, suspended sediment, recoverable, micrograms per liter","Methyl salicylate","ug/l","Suspended","","","","","","2008-02-21"
"3630","62138","Metolachlor, suspended sediment, recoverable, micrograms per liter","Metolachlor","ug/l","Suspended","","","","","","2008-02-21"
"3631","62139","N,N-Diethyl-m-toluamide (DEET), suspended sediment, recoverable, micrograms per liter","N,N-Diethyl-m-toluamide","ug/l","Suspended","","","","","","2014-07-01"
"3632","62140","Naphthalene, suspended sediment, recoverable, micrograms per liter","Naphthalene","ug/l","Suspended","","","","","","2008-02-21"
"3633","62142","p-Cresol, suspended sediment, recoverable, micrograms per liter","p-Cresol","ug/l","Suspended","","","","","","2008-02-21"
"3634","62144","Pentachlorophenol, suspended sediment, recoverable, micrograms per liter","Pentachlorophenol","ug/l","Suspended","","","","","","2008-02-21"
"3635","62145","Phenanthrene, suspended sediment, recoverable, micrograms per liter","Phenanthrene","ug/l","Suspended","","","","","","2008-02-21"
"3636","62146","Phenol, suspended sediment, recoverable, micrograms per liter","Phenol","ug/l","Suspended","","","","","","2008-02-21"
"3637","62147","Prometon, suspended sediment, recoverable, micrograms per liter","Prometon","ug/l","Suspended","","","","","","2008-02-21"
"3638","62148","Pyrene, suspended sediment, recoverable, micrograms per liter","Pyrene","ug/l","Suspended","","","","","","2008-02-21"
"3639","62149","beta-Stigmastanol, suspended sediment, recoverable, micrograms per liter","Stigmastan-3-ol, (3.beta.)-","ug/l","Suspended","","","","","","2008-02-21"
"3640","62150","Tetrachloroethene, suspended sediment, recoverable, micrograms per liter","Tetrachloroethylene","ug/l","Suspended","","","","","","2008-02-21"
"3641","62151","Tris(2-chloroethyl) phosphate, suspended sediment, recoverable, micrograms per liter","Tris(2-chloroethyl) phosphate","ug/l","Suspended","","","","","","2008-02-21"
"3642","62152","Tris(dichloroisopropyl) phosphate, suspended sediment, recoverable, micrograms per liter","2-Propanol, 1,3-dichloro-, phosphate (3:1)","ug/l","Suspended","","","","","","2008-03-25"
"3643","62153","Tributyl phosphate, suspended sediment, recoverable, micrograms per liter","Tributyl phosphate","ug/l","Suspended","","","","","","2008-02-21"
"3644","62154","Triclosan, suspended sediment, recoverable, micrograms per liter","Triclosan","ug/l","Suspended","","","","","","2008-02-21"
"3645","62155","Triethyl citrate, suspended sediment, recoverable, micrograms per liter","Triethyl citrate","ug/l","Suspended","","","","","","2008-02-21"
"3646","62156","Triphenyl phosphate, suspended sediment, recoverable, micrograms per liter","Triphenyl phosphate","ug/l","Suspended","","","","","","2008-02-21"
"3647","62157","Tris(2-butoxyethyl) phosphate, suspended sediment, recoverable, micrograms per liter","Tris(2-butoxyethyl) phosphate","ug/l","Suspended","","","","","","2014-10-03"
"3648","62159","Americium-241 2-sigma combined uncertainty, water, unfiltered, picocuries per liter","Americium-241","pCi/L","Total","","2-Sigma CSU","","","","2008-03-25"
"3649","62160","Lead-210 2-sigma combined uncertainty, water, unfiltered, picocuries per liter","Lead-210","pCi/L","Total","","2-Sigma CSU","","","","2008-03-25"
"3650","62161","Radium-226 2-sigma combined uncertainty, water, unfiltered, picocuries per liter","Radium-226","pCi/L","Total","","2-Sigma CSU","","","","2008-03-25"
"3651","62162","Radium-228 2-sigma combined uncertainty, water, unfiltered, picocuries per liter","Radium-228","pCi/L","Total","","2-Sigma CSU","","","","2008-03-25"
"3652","62163","Strontium-90 2-sigma combined uncertainty, water, unfiltered, picocuries per liter","Strontium-90","pCi/L","Total","","2-Sigma CSU","","","","2008-03-25"
"3653","62164","Gross gamma radioactivity, water, unfiltered, picocuries per liter","Gamma radiation","pCi/L","Total","","","","","","2008-03-25"
"3654","62165","Gross gamma radioactivity 2-sigma combined uncertainty, water, unfiltered, picocuries per liter","Gamma radiation","pCi/L","Total","","2-Sigma CSU","","","","2009-06-23"
"3655","62166","Fipronil, water, filtered, recoverable, micrograms per liter","Fipronil","ug/l","Dissolved","","","","","","2008-02-21"
"3656","62167","Fipronil sulfide, water, filtered, recoverable, micrograms per liter","5-Amino-1-[2,6-dichloro-4-(trifluoromethyl)phenyl]-4-[(trifluoromethyl)thio]pyrazole-3-carbonitrile","ug/l","Dissolved","","","","","","2008-03-25"
"3657","62171","Perchlorate, water, unfiltered, recoverable, milligrams per liter","Perchlorate","mg/l","Recoverable","","","","","","2008-02-21"
"3658","62172","Petroleum hydrocarbons, water, unfiltered, silica gel treated-hexane extractable, recoverable, milligrams per liter","Hydrocarbons, petroleum","mg/l","Recoverable","","","","","","2008-02-21"
"3659","62173","1,2-Dichloro-1,1,2-trifluoroethane, water, unfiltered, recoverable, micrograms per liter","HCFC-123a","ug/l","Recoverable","","","","","","2008-02-21"
"3660","62174","2,2-Dichloro-1,1,1-trifluoroethane, water, unfiltered, recoverable, micrograms per liter","HCFC-123","ug/l","Recoverable","","","","","","2008-02-21"
"3661","62175","Tetrachlorvinphos, water, unfiltered, recoverable, micrograms per liter","Phosphoric acid, (1Z)-2-chloro-1-(2,4,5-trichlorophenyl)ethenyl dimethyl ester","ug/l","Recoverable","","","","","","2008-02-21"
"3662","62176","2,3,7,8-Tetrachlorodibenzo-p-dioxin, water, unfiltered, recoverable, nanograms per liter","2,3,7,8-Tetrachlorodibenzo-p-dioxin","ng/l","Recoverable","","","","","","2008-02-21"
"3663","62177","1,2,3,7,8-Pentachlorodibenzo-p-dioxin, water, unfiltered, recoverable, nanograms per liter","1,2,3,7,8-Pentachlorodibenzo-p-dioxin","ng/l","Recoverable","","","","","","2008-02-21"
"3664","62178","1,2,3,4,7,8-Hexachlorodibenzo-p-dioxin, water, unfiltered, recoverable, nanograms per liter","1,2,3,4,7,8-Hexachlorodibenzo-p-dioxin","ng/l","Recoverable","","","","","","2008-02-21"
"3665","62179","1,2,3,6,7,8-Hexachlorodibenzo-p-dioxin, water, unfiltered, recoverable, nanograms per liter","1,2,3,6,7,8-Hexachlorodibenzo-p-dioxin","ng/l","Recoverable","","","","","","2008-02-21"
"3666","62180","1,2,3,7,8,9-Hexachlorodibenzo-p-dioxin, water, unfiltered, recoverable, nanograms per liter","1,2,3,7,8,9-Hexachlorodibenzo-p-dioxin","ng/l","Recoverable","","","","","","2008-02-21"
"3667","62181","1,2,3,4,6,7,8-Heptachlorodibenzo-p-dioxin, water, unfiltered, recoverable, nanograms per liter","1,2,3,4,6,7,8-Heptachlorodibenzo-p-dioxin","ng/l","Recoverable","","","","","","2008-02-21"
"3668","62182","1,2,3,4,6,7,8,9-Octachlorodibenzo-p-dioxin, water, unfiltered, recoverable, nanograms per liter","1,2,3,4,6,7,8,9-Octachlorodibenzo-p-dioxin","ng/l","Recoverable","","","","","","2008-02-21"
"3669","62183","1,2,3,7,8-Pentachlorodibenzofuran, water, unfiltered, recoverable, nanograms per liter","1,2,3,7,8-Pentachlorodibenzofuran","ng/l","Recoverable","","","","","","2008-02-21"
"3670","62184","2,3,4,7,8-Pentachlorodibenzofuran, water, unfiltered, recoverable, nanograms per liter","2,3,4,7,8-Pentachlorodibenzofuran","ng/l","Recoverable","","","","","","2008-02-21"
"3671","62185","1,2,3,4,7,8-Hexachlorodibenzofuran, water, unfiltered, recoverable, nanograms per liter","1,2,3,4,7,8-Hexachlorodibenzofuran","ng/l","Recoverable","","","","","","2008-02-21"
"3672","62186","1,2,3,6,7,8-Hexachlorodibenzofuran, water, unfiltered, recoverable, nanograms per liter","1,2,3,6,7,8-Hexachlorodibenzofuran","ng/l","Recoverable","","","","","","2008-02-21"
"3673","62187","1,2,3,7,8,9-Hexachlorodibenzofuran, water, unfiltered, recoverable, nanograms per liter","1,2,3,7,8,9-Hexachlorodibenzofuran","ng/l","Recoverable","","","","","","2008-02-21"
"3674","62188","2,3,4,6,7,8-Hexachlorodibenzofuran, water, unfiltered, recoverable, nanograms per liter","2,3,4,6,7,8-Hexachlorodibenzofuran","ng/l","Recoverable","","","","","","2008-02-21"
"3675","62189","1,2,3,4,6,7,8-Heptachlorodibenzofuran, water, unfiltered, recoverable, nanograms per liter","1,2,3,4,6,7,8-Heptachlorodibenzofuran","ng/l","Recoverable","","","","","","2008-02-21"
"3676","62190","1,2,3,4,7,8,9-Heptachlorodibenzofuran, water, unfiltered, recoverable, nanograms per liter","1,2,3,4,7,8,9-Heptachlorodibenzofuran","ng/l","Recoverable","","","","","","2008-02-21"
"3677","62191","1,2,3,4,6,7,8,9-Octachlorodibenzofuran, water, unfiltered, recoverable, nanograms per liter","1,2,3,4,6,7,8,9-Octachlorodibenzofuran","ng/l","Recoverable","","","","","","2008-02-21"
"3678","62192","Tetrachlorodibenzo-p-dioxins (all isomers), water, unfiltered, recoverable, nanograms per liter","Tetrachlorodibenzo-p-dioxin","ng/l","Recoverable","","","","","","2008-02-21"
"3679","62193","Pentachlorodibenzo-p-dioxins (all isomers), water, unfiltered, recoverable, nanograms per liter","Pentachlorodibenzo-p-dioxin","ng/l","Recoverable","","","","","","2008-02-21"
"3680","62194","Hexachlorodibenzo-p-dioxins (all isomers), water, unfiltered, recoverable, nanograms per liter","Hexachlorodibenzo-p-dioxin","ng/l","Recoverable","","","","","","2008-02-21"
"3681","62195","Heptachlorodibenzo-p-dioxins (all isomers), water, unfiltered, recoverable, nanograms per liter","Heptachlorodibenzo-p-dioxin","ng/l","Recoverable","","","","","","2008-02-21"
"3682","62196","Tetrachlorodibenzofurans (all isomers), water, unfiltered, recoverable, nanograms per liter","Tetrachlorodibenzofuran","ng/l","Recoverable","","","","","","2008-02-21"
"3683","62197","Pentachlorodibenzofurans (all isomers), water, unfiltered, recoverable, nanograms per liter","Pentachlorodibenzofuran","ng/l","Recoverable","","","","","","2008-02-21"
"3684","62198","Hexachlorodibenzofurans (all isomers), water, unfiltered, recoverable, nanograms per liter","Hexachlorodibenzofuran","ng/l","Recoverable","","","","","","2008-02-21"
"3685","62199","Heptachlorodibenzofurans (all isomers), water, unfiltered, recoverable, nanograms per liter","Heptachlorodibenzofuran","ng/l","Recoverable","","","","","","2008-02-21"
"3686","62200","2,3,7,8-Tetrachlorodibenzo-p-dioxin, water, unfiltered, recoverable, picograms per liter","2,3,7,8-Tetrachlorodibenzo-p-dioxin","pg/l","Recoverable","","","","","","2008-02-21"
"3687","62201","1,2,3,7,8-Pentachlorodibenzo-p-dioxin, water, unfiltered, recoverable, picograms per liter","1,2,3,7,8-Pentachlorodibenzo-p-dioxin","pg/l","Recoverable","","","","","","2008-02-21"
"3688","62202","1,2,3,4,7,8-Hexachlorodibenzo-p-dioxin, water, unfiltered, recoverable, picograms per liter","1,2,3,4,7,8-Hexachlorodibenzo-p-dioxin","pg/l","Recoverable","","","","","","2008-02-21"
"3689","62203","1,2,3,6,7,8-Hexachlorodibenzo-p-dioxin, water, unfiltered, recoverable, picograms per liter","1,2,3,6,7,8-Hexachlorodibenzo-p-dioxin","pg/l","Recoverable","","","","","","2008-02-21"
"3690","62204","1,2,3,7,8,9-Hexachlorodibenzo-p-dioxin, water, unfiltered, recoverable, picograms per liter","1,2,3,7,8,9-Hexachlorodibenzo-p-dioxin","pg/l","Recoverable","","","","","","2008-02-21"
"3691","62205","1,2,3,4,6,7,8-Heptachlorodibenzo-p-dioxin, water, unfiltered, recoverable, picograms per liter","1,2,3,4,6,7,8-Heptachlorodibenzo-p-dioxin","pg/l","Recoverable","","","","","","2008-02-21"
"3692","62206","1,2,3,4,6,7,8,9-Octachlorodibenzo-p-dioxin, water, unfiltered, recoverable, picograms per liter","1,2,3,4,6,7,8,9-Octachlorodibenzo-p-dioxin","pg/l","Recoverable","","","","","","2008-02-21"
"3693","62207","2,3,7,8-Tetrachlorodibenzofuran, water, unfiltered, recoverable, picograms per liter","2,3,7,8-Tetrachlorodibenzofuran","pg/l","Recoverable","","","","","","2008-02-21"
"3694","62208","1,2,3,7,8-Pentachlorodibenzofuran, water, unfiltered, recoverable, picograms per liter","1,2,3,7,8-Pentachlorodibenzofuran","pg/l","Recoverable","","","","","","2008-02-21"
"3695","62209","2,3,4,7,8-Pentachlorodibenzofuran, water, unfiltered, recoverable, picograms per liter","2,3,4,7,8-Pentachlorodibenzofuran","pg/l","Recoverable","","","","","","2008-02-21"
"3696","62210","1,2,3,4,7,8-Hexachlorodibenzofuran, water, unfiltered, recoverable, picograms per liter","1,2,3,4,7,8-Hexachlorodibenzofuran","pg/l","Recoverable","","","","","","2008-02-21"
"3697","62211","1,2,3,6,7,8-Hexachlorodibenzofuran, water, unfiltered, recoverable, picograms per liter","1,2,3,6,7,8-Hexachlorodibenzofuran","pg/l","Recoverable","","","","","","2008-02-21"
"3698","62212","1,2,3,7,8,9-Hexachlorodibenzofuran, water, unfiltered, recoverable, picograms per liter","1,2,3,7,8,9-Hexachlorodibenzofuran","pg/l","Recoverable","","","","","","2008-02-21"
"3699","62213","2,3,4,6,7,8-Hexachlorodibenzofuran, water, unfiltered, recoverable, picograms per liter","2,3,4,6,7,8-Hexachlorodibenzofuran","pg/l","Recoverable","","","","","","2008-02-21"
"3700","62214","1,2,3,4,6,7,8-Heptachlorodibenzofuran, water, unfiltered, recoverable, picograms per liter","1,2,3,4,6,7,8-Heptachlorodibenzofuran","pg/l","Recoverable","","","","","","2008-02-21"
"3701","62215","1,2,3,4,7,8,9-Heptachlorodibenzofuran, water, unfiltered, recoverable, picograms per liter","1,2,3,4,7,8,9-Heptachlorodibenzofuran","pg/l","Recoverable","","","","","","2008-02-21"
"3702","62216","1,2,3,4,6,7,8,9-Octachlorodibenzofuran, water, unfiltered, recoverable, picograms per liter","1,2,3,4,6,7,8,9-Octachlorodibenzofuran","pg/l","Recoverable","","","","","","2008-02-21"
"3703","62217","Tetrachlorodibenzo-p-dioxins (all isomers), water, unfiltered, recoverable, picograms per liter","Tetrachlorodibenzo-p-dioxin","pg/l","Recoverable","","","","","","2008-02-21"
"3704","62218","Pentachlorodibenzo-p-dioxins (all isomers), water, unfiltered, recoverable, picograms per liter","Pentachlorodibenzo-p-dioxin","pg/l","Recoverable","","","","","","2008-02-21"
"3705","62219","Hexachlorodibenzo-p-dioxins (all isomers), water, unfiltered, recoverable, picograms per liter","Hexachlorodibenzo-p-dioxin","pg/l","Recoverable","","","","","","2008-02-21"
"3706","62220","Heptachlorodibenzo-p-dioxins (all isomers), water, unfiltered, recoverable, picograms per liter","Heptachlorodibenzo-p-dioxin","pg/l","Recoverable","","","","","","2008-02-21"
"3707","62221","Tetrachlorodibenzofurans (all isomers), water, unfiltered, recoverable, picograms per liter","Tetrachlorodibenzofuran","pg/l","Recoverable","","","","","","2008-02-21"
"3708","62222","Pentachlorodibenzofurans (all isomers), water, unfiltered, recoverable, picograms per liter","Pentachlorodibenzofuran","pg/l","Recoverable","","","","","","2008-02-21"
"3709","62223","Hexachlorodibenzofurans (all isomers), water, unfiltered, recoverable, picograms per liter","Hexachlorodibenzofuran","pg/l","Recoverable","","","","","","2008-02-21"
"3710","62224","Heptachlorodibenzofurans (all isomers), water, unfiltered, recoverable, picograms per liter","Heptachlorodibenzofuran","pg/l","Recoverable","","","","","","2008-02-21"
"3711","62225","Pentaerythritol tetranitrate, water, unfiltered, recoverable, micrograms per liter","Pentaerythritol tetranitrate","ug/l","Recoverable","","","","","","2008-02-21"
"3712","62226","Tetryl, water, unfiltered, recoverable, micrograms per liter","Tetryl","ug/l","Recoverable","","","","","","2008-02-21"
"3713","62227","Diesel range organic compounds, soil, recoverable, dry weight, milligrams per kilogram","Diesel range organics","mg/kg","Recoverable","","","","Dry","","2008-12-29"
"3714","62228","Gasoline range organic compounds, soil, recoverable, dry weight, milligrams per kilogram","Gasoline range organics","mg/kg","Recoverable","","","","Dry","","2008-02-21"
"3715","62229","Xylene (all isomers), soil, recoverable, dry weight, micrograms per kilogram","Xylene","ug/kg","Recoverable","","","","Dry","","2008-02-21"
"3716","62230","Methyl tert-butyl ether, soil, recoverable, dry weight, micrograms per kilogram","Methyl tert-butyl ether","ug/kg","Recoverable","","","","Dry","","2008-02-21"
"3717","62231","cis-Chlordane, soil, recoverable, dry weight, micrograms per kilogram","cis-Chlordane","ug/kg","Recoverable","","","","Dry","","2008-02-21"
"3718","62232","Chlorobenzilate, soil, recoverable, dry weight, micrograms per kilogram","Chlorobenzilate","ug/kg","Recoverable","","","","Dry","","2008-02-21"
"3719","62233","Endrin ketone, soil, recoverable, dry weight, micrograms per kilogram","Endrin ketone","ug/kg","Recoverable","","","","Dry","","2008-02-21"
"3720","62234","gamma-Chlordane, soil, recoverable, dry weight, micrograms per kilogram","2,2,4,5,6,7,8,8-Octachloro-2,3,3a,4,7,7a-hexahydro-4,7-methano-1H-indene","ug/kg","Recoverable","","","","Dry","","2008-02-21"
"3721","62235","1,1,1,2-Tetrachloroethane, soil, recoverable, dry weight, micrograms per kilogram","1,1,1,2-Tetrachloroethane","ug/kg","Recoverable","","","","Dry","","2008-02-21"
"3722","62236","1,2-Dibromo-3-chloropropane, soil, recoverable, dry weight, micrograms per kilogram","1,2-Dibromo-3-chloropropane","ug/kg","Recoverable","","","","Dry","","2008-02-21"
"3723","62237","1,2-Dibromoethane, soil, recoverable, dry weight, micrograms per kilogram","Ethylene dibromide","ug/kg","Recoverable","","","","Dry","","2008-02-21"
"3724","62238","1,2,3-Trichloropropane, soil, recoverable, dry weight, micrograms per kilogram","1,2,3-Trichloropropane","ug/kg","Recoverable","","","","Dry","","2008-02-21"
"3725","62239","1,2-Dichloroethene, soil, recoverable, dry weight, micrograms per kilogram","1,2-Dichloroethylene","ug/kg","Recoverable","","","","Dry","","2008-02-21"
"3726","62240","1,2,3-Trichloropropane, soil, recoverable, dry weight, micrograms per kilogram","1,2,3-Trichloropropane","ug/kg","Recoverable","","","","Dry","","2008-02-21"
"3727","62241","1,4-Dioxane, soil, recoverable, dry weight, micrograms per kilogram","1,4-Dioxane","ug/kg","Recoverable","","","","Dry","","2008-02-21"
"3728","62242","Ethyl methyl ketone, soil, recoverable, dry weight, micrograms per kilogram","Methyl ethyl ketone","ug/kg","Recoverable","","","","Dry","","2008-02-21"
"3729","62243","n-Butyl methyl ketone, soil, recoverable, dry weight, micrograms per kilogram","2-Hexanone","ug/kg","Recoverable","","","","Dry","","2008-02-21"
"3730","62244","Isobutyl methyl ketone, soil, recoverable, dry weight, micrograms per kilogram","Methyl isobutyl ketone","ug/kg","Recoverable","","","","Dry","","2008-02-21"
"3731","62245","Acetone, soil, recoverable, dry weight, micrograms per kilogram","Acetone","ug/kg","Recoverable","","","","Dry","","2008-02-21"
"3732","62246","Acetonitrile, soil, recoverable, dry weight, micrograms per kilogram","Acetonitrile","ug/kg","Recoverable","","","","Dry","","2008-02-21"
"3733","62247","3-Chloropropene, soil, recoverable, dry weight, micrograms per kilogram","Allyl chloride","ug/kg","Recoverable","","","","Dry","","2008-02-21"
"3734","62248","Bromomethane, soil, recoverable, dry weight, micrograms per kilogram","Methyl bromide","ug/kg","Recoverable","","","","Dry","","2008-02-21"
"3735","62249","Carbon disulfide, soil, recoverable, dry weight, micrograms per kilogram","Carbon disulfide","ug/kg","Recoverable","","","","Dry","","2008-02-21"
"3736","62250","Chloromethane, soil, recoverable, dry weight, micrograms per kilogram","Chloromethane","ug/kg","Recoverable","","","","Dry","","2008-02-21"
"3737","62251","Chloroprene, soil, recoverable, dry weight, micrograms per kilogram","Chloroprene","ug/kg","Recoverable","","","","Dry","","2008-02-21"
"3738","62252","cis-1,2-Dichloroethene, soil, recoverable, dry weight, micrograms per kilogram","cis-1,2-Dichloroethylene","ug/kg","Recoverable","","","","Dry","","2008-02-21"
"3739","62253","Dibromochloromethane, soil, recoverable, dry weight, micrograms per kilogram","Chlorodibromomethane","ug/kg","Recoverable","","","","Dry","","2008-02-21"
"3740","62254","Dibromomethane, soil, recoverable, dry weight, micrograms per kilogram","Dibromomethane","ug/kg","Recoverable","","","","Dry","","2008-02-21"
"3741","62255","Ethyl methacrylate, soil, recoverable, dry weight, micrograms per kilogram","Ethyl methacrylate","ug/kg","Recoverable","","","","Dry","","2008-02-21"
"3742","62256","Iodomethane, soil, recoverable, dry weight, micrograms per kilogram","Methyl iodide","ug/kg","Recoverable","","","","Dry","","2008-02-21"
"3743","62257","Isobutyl alcohol, soil, recoverable, dry weight, micrograms per kilogram","Isobutanol","ug/kg","Recoverable","","","","Dry","","2008-02-21"
"3744","62258","Methyl acrylonitrile, soil, recoverable, dry weight, micrograms per kilogram","Methacrylonitrile","ug/kg","Recoverable","","","","Dry","","2008-02-21"
"3745","62259","Methyl methacrylate, soil, recoverable, dry weight, micrograms per kilogram","Methyl methacrylate","ug/kg","Recoverable","","","","Dry","","2008-02-21"
"3746","62260","Propionitrile, soil, recoverable, dry weight, micrograms per kilogram","Propanenitrile","ug/kg","Recoverable","","","","Dry","","2008-02-21"
"3747","62261","Styrene, soil, recoverable, dry weight, micrograms per kilogram","Styrene","ug/kg","Recoverable","","","","Dry","","2008-02-21"
"3748","62262","trans-1,4-Dichloro-2-butene, soil, recoverable, dry weight, micrograms per kilogram","trans-1,4-Dichloro-2-butene","ug/kg","Recoverable","","","","Dry","","2008-02-21"
"3749","62263","Vinyl acetate, soil, recoverable, dry weight, micrograms per kilogram","Vinyl acetate","ug/kg","Recoverable","","","","Dry","","2008-02-21"
"3750","62264","Xylene (all isomers), soil, recoverable, dry weight, micrograms per kilogram","Xylene","ug/kg","Recoverable","","","","Dry","","2008-02-21"
"3751","62265","1-Methylnaphthalene, soil, recoverable, dry weight, micrograms per kilogram","1-Methylnaphthalene","ug/kg","Recoverable","","","","Dry","","2008-02-21"
"3752","62266","2,4,5-Trichlorophenol, soil, recoverable, dry weight, micrograms per kilogram","2,4,5-Trichlorophenol","ug/kg","Recoverable","","","","Dry","","2008-02-21"
"3753","62267","2,4-Dimethylphenol, soil, recoverable, dry weight, micrograms per kilogram","2,4-Dimethylphenol","ug/kg","Recoverable","","","","Dry","","2008-02-21"
"3754","62268","o-Cresol, soil, recoverable, dry weight, micrograms per kilogram","o-Cresol","ug/kg","Recoverable","","","","Dry","","2008-02-21"
"3755","62269","2-Nitroaniline, soil, recoverable, dry weight, micrograms per kilogram","o-Nitroaniline","ug/kg","Recoverable","","","","Dry","","2008-02-21"
"3756","62270","3-Nitroaniline, soil, recoverable, dry weight, micrograms per kilogram","m-Nitroaniline","ug/kg","Recoverable","","","","Dry","","2008-02-21"
"3757","62271","4-Chloroaniline, soil, recoverable, dry weight, micrograms per kilogram","p-Chloroaniline","ug/kg","Recoverable","","","","Dry","","2008-02-21"
"3758","62272","p-Cresol, soil, recoverable, dry weight, micrograms per kilogram","p-Cresol","ug/kg","Recoverable","","","","Dry","","2008-02-21"
"3759","62273","4-Nitroaniline, soil, recoverable, dry weight, micrograms per kilogram","p-Nitroaniline","ug/kg","Recoverable","","","","Dry","","2008-02-21"
"3760","62274","Carbazole, soil, recoverable, dry weight, micrograms per kilogram","Carbazole","ug/kg","Recoverable","","","","Dry","","2008-02-21"
"3761","62275","Dibenzofuran, soil, recoverable, dry weight, micrograms per kilogram","Dibenzofuran","ug/kg","Recoverable","","","","Dry","","2008-02-21"
"3762","62276","1,3,5-Trinitrobenzene, soil, recoverable, dry weight, micrograms per kilogram","1,3,5-Trinitrobenzene","ug/kg","Recoverable","","","","Dry","","2008-02-21"
"3763","62277","1,3-Dinitrobenzene, soil, recoverable, dry weight, micrograms per kilogram","m-Dinitrobenzene","ug/kg","Recoverable","","","","Dry","","2008-02-21"
"3764","62278","TNT, soil, recoverable, dry weight, micrograms per kilogram","Trinitrotoluene","ug/kg","Recoverable","","","","Dry","","2008-02-21"
"3765","62279","2-Amino-4,6-dinitrotoluene, soil, recoverable, dry weight, micrograms per kilogram","2-Amino-4,6-dinitrotoluene","ug/kg","Recoverable","","","","Dry","","2012-01-03"
"3766","62280","2-Nitrotoluene, soil, recoverable, dry weight, micrograms per kilogram","o-Nitrotoluene","ug/kg","Recoverable","","","","Dry","","2008-02-21"
"3767","62281","3-Nitrotoluene, soil, recoverable, dry weight, micrograms per kilogram","m-Nitrotoluene","ug/kg","Recoverable","","","","Dry","","2008-02-21"
"3768","62282","4-Amino-2,6-dinitrotoluene, soil, recoverable, dry weight, micrograms per kilogram","4-Amino-2,6-dinitrotoluene","ug/kg","Recoverable","","","","Dry","","2008-02-21"
"3769","62283","4-Nitrotoluene, soil, recoverable, dry weight, micrograms per kilogram","p-Nitrotoluene","ug/kg","Recoverable","","","","Dry","","2008-02-21"
"3770","62284","HMX, soil, recoverable, dry weight, micrograms per kilogram","Cyclotetramethylenetetranitramine","ug/kg","Recoverable","","","","Dry","","2008-02-21"
"3771","62285","Nitroglycerin, soil, recoverable, dry weight, micrograms per kilogram","Nitroglycerin","ug/kg","Recoverable","","","","Dry","","2008-02-21"
"3772","62286","Pentaerythritol tetranitrate, soil, recoverable, dry weight, micrograms per kilogram","Pentaerythritol tetranitrate","ug/kg","Recoverable","","","","Dry","","2008-02-21"
"3773","62287","RDX, soil, recoverable, dry weight, micrograms per kilogram","Cyclonite","ug/kg","Recoverable","","","","Dry","","2008-02-21"
"3774","62288","Tetryl, soil, recoverable, dry weight, micrograms per kilogram","Tetryl","ug/kg","Recoverable","","","","Dry","","2008-02-21"
"3775","62289","Organic carbon, soil, total, dry weight, milligrams per kilogram","Organic carbon","mg/kg","Total","","","","Dry","","2008-02-21"
"3776","62290","2,3,7,8-Tetrachlorodibenzo-p-dioxin, soil, recoverable, dry weight, micrograms per kilogram","2,3,7,8-Tetrachlorodibenzo-p-dioxin","ug/kg","Recoverable","","","","Dry","","2010-09-24"
"3777","62291","1,2,3,7,8-Pentachlorodibenzo-p-dioxin, soil, recoverable, dry weight, micrograms per kilogram","1,2,3,7,8-Pentachlorodibenzo-p-dioxin","ug/kg","Recoverable","","","","Dry","","2010-09-24"
"3778","62292","1,2,3,4,7,8-Hexachlorodibenzo-p-dioxin, soil, recoverable, dry weight, micrograms per kilogram","1,2,3,4,7,8-Hexachlorodibenzo-p-dioxin","ug/kg","Recoverable","","","","Dry","","2010-09-24"
